Artist Name,Gender,Maker Person Name ID,Title,Date,Place name,Artist Details
"""Unknown""",,A1848,"""Bhima and Kichaka""",,,
"""Unknown""",,A1849,"""A gathering of nobles""",,,
"""Unknown""",,A1850,"""Narada and Suka""",,,
"""Unknown""",,A1851,"""Three males in conference""",,,
"""Unknown""",,A1852,"""Yudhisthira""",,,
"""Unknown""",,A1853,"""Nala and Damayanti""",,,
"""Unknown""",,A1854,"""Duhshashana and Bhagadatta""",,,
"""Unknown""",,A1855,"""Rajasuya""",,,
"""Unknown""",,A1856,"""Savitri and Yama""",,,
"""Unknown""",,A1857,"""Ushna and Jayadratha""",,,
"""Unknown""",,A1858,"""Draupadi""",,,
"""Unknown""",,A1859,"""Bhima and Duhshashana""",,,
"""Unknown""",,A1860,"""A battle scene - Karna and Bhima""",,,
"""Unknown""",,A1861,"""Krishna and Kamsa""",,,
"""Unknown""",,A1862,"""Bhima and Aswathama""",,,
"""Unknown""",,A1863,"""Bhima and Jarasandha""",,,
"""Unknown""",,A1864,"""Bhima and Duryodhana""",,,
"""Unknown""",,A1865,"""Bhima""",,,
"""Majumdar, Kshitindranath""",Male,A9919,"""Sakuntala and King Dushyanta""",1891-1975,Bengal,"""An influential figure of the Bengal School of Art which flourished between 1905 and 1920. He restricted himself to Vaishnavite (referring to the Hindu god Vishnu) and literary themes, evolving a mannered style in which languid, elongated figures generally appear against simple backgrounds with trees and shrubs."""
"""Sharma, N.D""",Male,A18164,"""Krishna""",,,
"""Das, Madhab Chandra (Sri)""",Male,A24109,"""Krishna at Rest - An episode from the Mahabharata""",,,
"""Banwari the Younger""",Male,A1631,"""Vyasa and Shuka""",,,
"""Kamal son of Khem""",Male,AUTH327456,"""Duryodhana and Salya""",,,
"""Husain Ali""",Male,AUTH327454,"""Bhisma""",,,