Place name,Place ID,Title
Kolkata,x32018,"""Bhima and Kichaka"""
Kolkata,x32019,"""Sakuntala and King Dushyanta"""
Kolkata,x32020,"""Nala and Damayanti"""
Kolkata,x32021,"""Duhshashana and Bhagadatta"""
Kolkata,x32022,"""Savitri and Yama"""
Kolkata,x32023,"""Ushna and Jayadratha"""
Kolkata,x32024,"""Bhima and Duhshashana"""
Kolkata,x32025,"""Bhima and Jarasandha"""
Kolkata,x32026,"""Bhima and Duryodhana"""
India,x29790,"""Krishna"""
Bengal,x30825,"""Krishna at Rest - An episode from the Mahabharata"""
Jaipur,x30863,"""A gathering of nobles"""
Jaipur,x30864,"""Bhima"""
Mughal empire,THES262021,"""Vyasa and Shuka"""
Mughal empire,THES262022,"""Narada and Suka"""
Mughal empire,THES262023,"""Duryodhana and Salya"""
Mughal empire,THES262024,"""Yudhisthira"""
Mughal empire,THES262025,"""Krishna and Kamsa"""
Mughal empire,THES262026,"""Bhisma"""
Mughal empire,THES262027,"""Bhima and Aswathama"""
Mysore,x30900,"""Three males in conference"""
Bilaspur,THES258629,"""Rajasuya"""
Guler,x32750,"""Draupadi"""
Kangra,x30869,"""A battle scene -Karna and Bhima"""
Rajasthan,x29841,"""Bhima"""