Object Type,Title
album,"""Shírín mourning the death of Farhád"""
painting,"""Shírín mourning the death of Farhád"""
album,"""A lady sleeping besides a prince"""
painting,"""A lady sleeping besides a prince"""
album,"""Khusrau watching Shirin"""
painting,"""Khusrau watching Shirin"""
album,"""Two miniatures-A man and fox, A woman and cobra"""
painting,"""Two miniatures-A man and fox, A woman and cobra"""
album,"""Farhad and Khusrau"""
painting,"""Farhad and Khusrau"""
oil painting,"""Kundalini"""
oil painting,"""Boshonto"""
painting,"""A scene from a romance"""
painting,"""Sultan Abdullah Qutub Shah"""
painting,"""Court scene with Sultan Abdullah Qutub Shah"""
painting,"""Heavily abstracted and sexual imagery"""
painting,"""Ascetics presenting fish to Iskandar"""
painting,"""Palace scene with Sultan Abdullah Qutub Shah"""
painting,"""Bahram Gur hunting with Dilaram"""
manuscript,"""Bahram Gur hunting with Dilaram"""
album,"""Bahram Gur hunting with Dilaram"""
painting,"""Two lovers sit on a bed"""
album,"""Two lovers sit on a bed"""
painting,"""An illustration from the Rasamanjari"""
painting,"""An illumination from the Kalpasutra"""
painting,"""A court interior with the ruler """
painting,"""Garden scene with Sultan Abdullah Qutub Shah"""
painting,"""Bhils having killed a black buck"""
painting,"""Based on tantric ideas"""