Other Content Details,Title
Attendants,"""Shírín mourning the death of Farhád"""
Horse,"""Shírín mourning the death of Farhád"""
Stream,"""Shírín mourning the death of Farhád"""
Hilly Landscape,"""Shírín mourning the death of Farhád"""
Trees,"""Shírín mourning the death of Farhád"""
Animals,"""Shírín mourning the death of Farhád"""
Prince,"""A lady sleeping besides a prince"""
Lady,"""A lady sleeping besides a prince"""
Attendants,"""A lady sleeping besides a prince"""
River,"""A lady sleeping besides a prince"""
Rock,"""A lady sleeping besides a prince"""
Figures,"""Khusrau watching Shirin"""
Hilly Landscape,"""Khusrau watching Shirin"""
Trees,"""Khusrau watching Shirin"""
Buildings,"""Khusrau watching Shirin"""
Horse,"""Khusrau watching Shirin"""
Falcon,"""Khusrau watching Shirin"""
River,"""Khusrau watching Shirin"""
Man,"""Two miniatures-A man and fox, A woman and cobra"""
Fox,"""Two miniatures-A man and fox, A woman and cobra"""
Arms,"""Two miniatures-A man and fox, A woman and cobra"""
Landscape,"""Two miniatures-A man and fox, A woman and cobra"""
Woman,"""Two miniatures-A man and fox, A woman and cobra"""
Cobra,"""Two miniatures-A man and fox, A woman and cobra"""
Blood,"""Two miniatures-A man and fox, A woman and cobra"""
Courtyard,"""Two miniatures-A man and fox, A woman and cobra"""
Cup,"""Two miniatures-A man and fox, A woman and cobra"""
Sculptor,"""Farhad and Khusrau"""
Male figure,"""Farhad and Khusrau"""
Canal,"""Farhad and Khusrau"""
Stream,"""Farhad and Khusrau"""
Goats,"""Farhad and Khusrau"""
Rocky Hills,"""Farhad and Khusrau"""
Foliage,"""Farhad and Khusrau"""
Ruler,"""Sultan Abdullah Qutub Shah"""
Dancers,"""Sultan Abdullah Qutub Shah"""
Attendants,"""Sultan Abdullah Qutub Shah"""
Ruler,"""Court scene with Sultan Abdullah Qutub Shah"""
Dancers,"""Court scene with Sultan Abdullah Qutub Shah"""
Attendants,"""Court scene with Sultan Abdullah Qutub Shah"""
Musicians,"""Court scene with Sultan Abdullah Qutub Shah"""
Court,"""Court scene with Sultan Abdullah Qutub Shah"""
Holy Person/Ascetic,"""Ascetics presenting fish to Iskandar"""
Fish,"""Ascetics presenting fish to Iskandar"""
Ruler,"""Palace scene with Sultan Abdullah Qutub Shah"""
Palace/Mansion,"""Palace scene with Sultan Abdullah Qutub Shah"""
Attendants,"""Palace scene with Sultan Abdullah Qutub Shah"""
Women,"""Palace scene with Sultan Abdullah Qutub Shah"""
Ruler,"""Bahram Gur hunting with Dilaram"""
Horse,"""Bahram Gur hunting with Dilaram"""
Doe,"""Bahram Gur hunting with Dilaram"""
Attendants,"""Bahram Gur hunting with Dilaram"""
Hunters,"""Bahram Gur hunting with Dilaram"""
Rocky Hills,"""Bahram Gur hunting with Dilaram"""
Stream,"""Bahram Gur hunting with Dilaram"""
Foliage,"""Bahram Gur hunting with Dilaram"""
Lovers,"""Two lovers sit on a bed"""
Bed,"""Two lovers sit on a bed"""
Hands,"""Two lovers sit on a bed"""
Dancers,"""A court interior with the ruler """
Musicians,"""A court interior with the ruler """
Ruler,"""A court interior with the ruler """
Attendants,"""A court interior with the ruler """
Court,"""A court interior with the ruler """
Ruler,"""Garden scene with Sultan Abdullah Qutub Shah"""
Garden,"""Garden scene with Sultan Abdullah Qutub Shah"""
Dancers,"""Garden scene with Sultan Abdullah Qutub Shah"""
Attendants,"""Garden scene with Sultan Abdullah Qutub Shah"""
Black Buck,"""Bhils having killed a black buck"""
Archer,"""Bhils having killed a black buck"""
Child,"""Bhils having killed a black buck"""