Place Name,Title
"""Awadh""","""Shírín mourning the death of Farhád"""
"""India""","""A lady sleeping besides a prince"""
"""Awadh""","""Khusrau watching Shirin"""
"""India""","""Two miniatures-A man and fox, A woman and cobra"""
"""India""","""Farhad and Khusrau"""
"""Calcutta""","""Kundalini"""
"""Calcutta""","""Boshonto"""
"""Punjab Hills""","""A scene from a romance"""
"""Golconda""","""Sultan Abdullah Qutub Shah"""
"""Golconda""","""Court scene with Sultan Abdullah Qutub Shah"""
"""India""","""Ascetics presenting fish to Iskandar"""
"""Golconda""","""Palace scene with Sultan Abdullah Qutub Shah"""
"""India""","""Bahram Gur hunting with Dilaram"""
"""India""","""Two lovers sit on a bed"""
"""Punjab Hills""","""An illustration from the Rasamanjari"""
"""Golconda""","""A court interior with the ruler """
"""Golconda""","""Garden scene with Sultan Abdullah Qutub Shah"""
"""India (probably Delhi)""","""Based on tantric ideas"""