Name of Poem/Prose,Title,Written During ,Name of Poet/Writer,Character Name
"""Khosrow o Shirin""","""Shírín mourning the death of Farhád""","""1177–1180""","""Nizami""","""Shirin"""
"""Khosrow o Shirin""","""Shírín mourning the death of Farhád""","""1177–1180""","""Nizami""","""Farhad"""
"""Khosrow o Shirin""","""Khusrau watching Shirin""","""1177–1180""","""Nizami""","""Khusrau"""
"""Khosrow o Shirin""","""Khusrau watching Shirin""","""1177–1180""","""Nizami""","""Shirin"""
"""Anwar-e Sohaili""","""Two miniatures-A man and fox, A woman and cobra""",,"""Kashifi""",
"""Khosrow o Shirin""","""Farhad and Khusrau""","""1177–1180""","""Nizami""","""Farhad"""
"""Khosrow o Shirin""","""Farhad and Khusrau""","""1177–1180""","""Nizami""","""Khusrau"""
"""Divan of Hafez""","""Sultan Abdullah Qutub Shah""","""14th century""","""Hafez""","""Abdallah Qutub Shah"""
"""Divan of Hafez""","""Court scene with Sultan Abdullah Qutub Shah""","""14th century""","""Hafez""","""Abdallah Qutub Shah"""
"""Iskandarnameh""","""Ascetics presenting fish to Iskandar""","""1194/1196–1202""","""Nizami""","""Alexander the Great"""
"""Hasht-Bihisht""","""Bahram Gur hunting with Dilaram""","""1302""","""Amir Khusrau""","""Bahram (Varhran) V"""
"""Hasht-Bihisht""","""Bahram Gur hunting with Dilaram""","""1302""","""Amir Khusrau""","""Dilaram"""
"""Rasikapriya""","""Two lovers sit on a bed""","""1591""","""Keshavdas""",
"""Rasamanjari""","""An illustration from the Rasamanjari""","""15th century""","""Bhanudatta""",