Style Name,Title,Place Name,Artist Name
"""Islamic""","""Shírín mourning the death of Farhád""","""Awadh""",
"""Mughal dynasty""","""A lady sleeping besides a prince""","""India""",
"""Islamic""","""Khusrau watching Shirin""","""Awadh""",
"""Mughal dynasty""","""Two miniatures-A man and fox, A woman and cobra""","""India""",
"""Mughal dynasty""","""Farhad and Khusrau""","""India""","""Nadím"""
"""Islamic""","""Sultan Abdullah Qutub Shah""","""Golconda""",
"""Late Islamic""","""Court scene with Sultan Abdullah Qutub Shah""","""Golconda""",
"""Jahangir reign""","""Ascetics presenting fish to Iskandar""","""India""",
"""Late Islamic""","""Palace scene with Sultan Abdullah Qutub Shah""","""Golconda""",
"""Mughal dynasty""","""Bahram Gur hunting with Dilaram""","""India""","""Nadím"""
"""Mughal dynasty""","""Two lovers sit on a bed""","""India""",
"""Late Islamic""","""A court interior with the ruler ""","""Punjab Hills""",
"""Late Islamic""","""Garden scene with Sultan Abdullah Qutub Shah""","""Golconda""",
"""Islamic""","""Bhils having killed a black buck""","""Golconda""",