Date,Title,Place Name
"""18th century""","""Shírín mourning the death of Farhád""","""Awadh"""
"""17th century""","""A lady sleeping besides a prince""","""India"""
"""18th century""","""Khusrau watching Shirin""","""Awadh"""
"""1600""","""Two miniatures-A man and fox, A woman and cobra""","""India"""
"""1610""","""Farhad and Khusrau""","""India"""
"""1970-1985""","""Kundalini""","""Calcutta"""
"""1970-1985""","""Boshonto""","""Calcutta"""
"""1780""","""A scene from a romance""","""Punjab Hills"""
"""1630""","""Sultan Abdullah Qutub Shah""","""Golconda"""
"""1630""","""Court scene with Sultan Abdullah Qutub Shah""","""Golconda"""
"""1974""","""Heavily abstracted and sexual imagery""",
"""1620""","""Ascetics presenting fish to Iskandar""","""India"""
"""1630""","""Palace scene with Sultan Abdullah Qutub Shah""","""Golconda"""
"""1610""","""Bahram Gur hunting with Dilaram""","""India"""
"""1600""","""Two lovers sit on a bed""","""India"""
"""1725""","""An illustration from the Rasamanjari""","""Punjab Hills"""
"""1500""","""An illumination from the Kalpasutra""",
"""1630""","""A court interior with the ruler ""","""Golconda"""
"""1630""","""Garden scene with Sultan Abdullah Qutub Shah""","""Golconda"""
"""19th century""","""Bhils having killed a black buck""",
"""1970s""","""Based on tantric ideas""","""India (probably Delhi)"""
"""1580's-1620's (active)""",,
"""1926–2011""",,
"""1929 –1997""",,