Date,Title
"""1885""","""Bhima and Kichaka"""
"""1885""","""Nala and Damayanti"""
"""1885""","""Bhima and Jarasandha"""
"""1885""","""Bhima and Duryodhana"""
"""1910 - 1920""","""Sakuntala and King Dushyanta"""
"""1998""","""Krishna"""
"""19th Century""","""Krishna at Rest - An episode from the Mahabharata"""
"""1800""","""A gathering of nobles"""
"""1800""","""A battle scene - Karna and Bhima"""
"""1800""","""Bhima"""
"""1598""","""Vyasa and Shuka"""
"""1598""","""Narada and Suka"""
"""1598""","""Duryodhana and Salya"""
"""1598""","""Bhisma"""
"""1598""","""Bhima and Aswathama"""
"""1670""","""Three males in conference"""
"""late 16th century""","""Yudhisthira"""
"""1890""","""Duhshashana and Bhagadatta"""
"""1890""","""Savitri and Yama"""
"""1890""","""Ushna and Jayadratha"""
"""1890""","""Bhima and Duhshashana"""
"""1670 - 1680""","""Rajasuya"""
"""1740""","""Draupadi"""
"""1590""","""Krishna and Kamsa"""
"""1891-1975""",